i,timestamp,symbol,side,model,R,risk_usd,pnl,equity
183,2026-01-14T01:30:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,-1.0,161.4894014187193,-161.4894014187193,15987.45074045321
184,2026-01-14T15:00:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,159.8745074045321,-159.8745074045321,15827.576233048678
185,2026-01-14T15:30:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,158.27576233048677,-158.27576233048677,15669.300470718192
186,2026-01-14T16:00:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,156.69300470718193,-156.69300470718193,15512.60746601101
187,2026-01-14T16:30:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,155.1260746601101,-155.1260746601101,15357.4813913509
188,2026-01-14T16:30:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,2.0,153.57481391350902,307.14962782701804,15664.63101917792
189,2026-01-14T17:00:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,2.0,156.6463101917792,313.2926203835584,15977.923639561477
190,2026-01-14T17:00:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,2.0,159.7792363956148,319.5584727912296,16297.482112352707
191,2026-01-14T17:30:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,162.97482112352708,-162.97482112352708,16134.50729122918
192,2026-01-14T18:00:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,161.3450729122918,-161.3450729122918,15973.162218316887
193,2026-01-14T18:00:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,0.0397017784687813,159.73162218316887,6.341629478375243,15979.503847795262
